,Title,Created at,Vendor,URL,Product Type,variants_title,SKU,Price,ComparePrice
27,"Wasserstein 3-in-1 Wired Smart Floodlight, Charger and Mount for Wyze Cam V3 - with Motion Sensor and Timer Control",2021-09-23T22:45:28-07:00,Wasserstein,wasserstein-3-in-1-smart-floodlight-charger-and-mount-for-wyze-cam-v3-with-motion-sensor-and-timer-control,Wyze-V3-Smt-Floodlight,Default Title,WyzeV3SmtFldWhtUS,66.99,69.99
28,Wasserstein AC Outlet Mount for Eero Mesh - Flexible Mounting Option for Your Wi-Fi System,2021-09-19T23:25:03-07:00,Wasserstein,wasserstein-ac-outlet-mount-for-eero-mesh-flexible-mounting-option-for-your-wi-fi-system,surveillance-camera-accessories,3-Pack,EeroWifiACMntWht3US,18.99,
29,Wasserstein Adjustable Ceiling Mount Compatible with Sonos Play:1 (Sonos Speaker NOT Included),2021-09-19T23:18:08-07:00,Wasserstein,wasserstein-adjustable-ceiling-mount-compatible-with-sonos-play-1-sonos-speaker-not-included,home-speaker-mounts,Default Title,SONOSCeilMount,31.99,
30,Wasserstein 360 Degree AC Outlet Swivel Mount for Kasa Spot Indoor Camera,2021-09-19T22:56:55-07:00,Wasserstein,wasserstein-360-degree-ac-outlet-swivel-mount-for-kasa-spot-indoor-camera,surveillance-camera-accessories,Default Title,KasaSpotInACMntWhtUS,11.99,
31,Dartwood Indoor Grow Light - Adjustable LED Gooseneck Lights for Plants with Red and Blue Full Spectrum,2021-09-13T20:33:40-07:00,Dartwood,dartwood-indoor-grow-light-adjustable-led-gooseneck-lights-for-plants-with-red-and-blue-full-spectrum,Dart-Grow-Light,Default Title,GrowLightUS,42.99,52.99
32,Dartwood Deep Tissue Mini Massage Gun - Quiet and Portable for Treating Muscle Soreness,2021-09-10T01:55:22-07:00,Dartwood,dartwood-deep-tissue-mini-massage-gun-quiet-and-portable-for-treating-muscle-soreness,Dart-Mini-Mass-Gun,Default Title,MiniMassGunUS,54.99,69.99
33,"Wasserstein 2-in-1 Universal Pole Mount for Camera & Solar Panel for Wyze, Blink, Ring, Arlo, Eufy Camera",2021-09-08T23:11:19-07:00,Wasserstein,wasserstein-2-in-1-universal-pole-mount-for-camera-solar-panel,Uni-Solar-Pole-Mount,white,UnivPoleMountWhtUS,17.99,
34,"Wasserstein 3-in-1 Sony Playstation 5 Vertical Cooling Stand with DualSense Controller Charging Station, Cooling Fan, and Video Games Storage",2021-09-01T18:49:58-07:00,Wasserstein,wasserstein-3-in-1-sony-playstation-5-vertical-cooling-stand-with-dualsense-controller-charging-station-cooling-fan-and-video-games-storage-compatible-with-ps5-ps5-digital-edition-console,PS5-cooling-stand,Default Title,PS5ConsoleStandUS,36.99,46.99
35,Wasserstein Universal Remote Attachment Compatible with Chromecast with Google TV,2021-08-09T00:55:58-07:00,Wasserstein,wasserstein-universal-remote-attachment-compatible-with-chromecast-with-google-tv,Chromecast-Remote-Attachment,Default Title,ChromecastRmtAttachUS,17.99,
36,Google Nest Doorbell (battery) + Solar Panel + Google Nest Hub Max + Adjustable Stand Bundle | Made for Google Nest,2021-08-26T09:39:08-07:00,Wasserstein,google-nest-doorbell-battery-solar-panel-google-nest-hub-max-adjustable-stand-bundle-made-for-google-nest,MFG-Bundle-NDb-Solar-HubM,Default Title,NstDb1So1HubM1WStW,369.99,487.99
